Categoria,Rating,Promedio descargas
Clima,2.2,65305.0
Clima,2.3,399574.0
Clima,2.4,12978.0
Clima,2.5,21880.0
Clima,2.6,17801.0
Clima,2.7,42074.0
Clima,2.8,47822.0
Clima,2.9,64308.0
Clima,3.0,60616.0
Clima,3.1,223651.0
Clima,3.2,88968.0
Clima,3.3,233648.0
Clima,3.4,170217.0
Clima,3.5,178798.0
Clima,3.6,487159.0
Clima,3.7,518064.0
Clima,3.8,426449.0
Clima,3.9,955549.0
Clima,4.0,782576.0
Clima,4.1,662195.0
Clima,4.2,909964.0
Clima,4.3,1179514.0
Clima,4.4,881156.0
Clima,4.5,3261435.0
Clima,4.6,1338763.0
Clima,4.7,1000312.0
Clima,4.8,646681.0
Clima,4.9,281809.0
Clima,5.0,48103.0
Comics,0.0,3566.0
Comics,1.1,5856.0
Comics,1.4,64932.0
Comics,1.5,48037.0
Comics,1.6,12840.0
Comics,1.7,6538.0
Comics,1.8,8574.0
Comics,1.9,67031.0
Comics,2.0,14753.0
Comics,2.1,900645.0
Comics,2.2,35125.0
Comics,2.3,100856.0
Comics,2.4,52702.0
Comics,2.5,367810.0
Comics,2.6,55169.0
Comics,2.7,77707.0
Comics,2.8,134536.0
Comics,2.9,86256.0
Comics,3.0,143425.0
Comics,3.1,360439.0
Comics,3.2,47690.0
Comics,3.3,195413.0
Comics,3.4,434610.0
Comics,3.5,155914.0
Comics,3.6,232957.0
Comics,3.7,271941.0
Comics,3.8,305023.0
Comics,3.9,559184.0
Comics,4.0,376207.0
Comics,4.1,654866.0
Comics,4.2,297700.0
Comics,4.3,410559.0
Comics,4.4,451899.0
Comics,4.5,311590.0
Comics,4.6,1104639.0
Comics,4.7,224332.0
Comics,4.8,81023.0
Comics,4.9,102198.0
Comics,5.0,2047.0
Comida y Bebidas,0.0,501.0
Comida y Bebidas,1.0,1931.0
Comida y Bebidas,1.1,2434.0
Comida y Bebidas,1.2,7853.0
Comida y Bebidas,1.3,28506.0
Comida y Bebidas,1.4,9533.0
Comida y Bebidas,1.5,14319.0
Comida y Bebidas,1.6,5245.0
Comida y Bebidas,1.7,16106.0
Comida y Bebidas,1.8,20115.0
Comida y Bebidas,1.9,21724.0
Comida y Bebidas,2.0,25551.0
Comida y Bebidas,2.1,35698.0
Comida y Bebidas,2.2,25291.0
Comida y Bebidas,2.3,57391.0
Comida y Bebidas,2.4,275161.0
Comida y Bebidas,2.5,86351.0
Comida y Bebidas,2.6,25941.0
Comida y Bebidas,2.7,41587.0
Comida y Bebidas,2.8,45851.0
Comida y Bebidas,2.9,482539.0
Comida y Bebidas,3.0,132354.0
Comida y Bebidas,3.1,60381.0
Comida y Bebidas,3.2,119636.0
Comida y Bebidas,3.3,55127.0
Comida y Bebidas,3.4,84251.0
Comida y Bebidas,3.5,157110.0
Comida y Bebidas,3.6,84704.0
Comida y Bebidas,3.7,159460.0
Comida y Bebidas,3.8,104140.0
Comida y Bebidas,3.9,164516.0
Comida y Bebidas,4.0,59873.0
Comida y Bebidas,4.1,116041.0
Comida y Bebidas,4.2,292543.0
Comida y Bebidas,4.3,301350.0
Comida y Bebidas,4.4,152930.0
Comida y Bebidas,4.5,184891.0
Comida y Bebidas,4.6,165175.0
Comida y Bebidas,4.7,146958.0
Comida y Bebidas,4.8,105415.0
Comida y Bebidas,4.9,13538.0
Comida y Bebidas,5.0,860.0
Comunicacion,0.0,1530.0
Comunicacion,1.0,5535.0
Comunicacion,1.1,19005.0
Comunicacion,1.2,6839.0
Comunicacion,1.3,67790.0
Comunicacion,1.4,22974.0
Comunicacion,1.5,23366.0
Comunicacion,1.6,22922.0
Comunicacion,1.7,183340.0
Comunicacion,1.8,71194.0
Comunicacion,1.9,64230.0
Comunicacion,2.0,99272.0
Comunicacion,2.1,106350.0
Comunicacion,2.2,99482.0
Comunicacion,2.3,102853.0
Comunicacion,2.4,260920.0
Comunicacion,2.5,120662.0
Comunicacion,2.6,144600.0
Comunicacion,2.7,111986.0
Comunicacion,2.8,209849.0
Comunicacion,2.9,180306.0
Comunicacion,3.0,97876.0
Comunicacion,3.1,150288.0
Comunicacion,3.2,94007.0
Comunicacion,3.3,647646.0
